year,month,country,product,units,sales
2021,1,Australia,Mountain-200 Black,16,30936.00
2021,1,Australia,Mountain-200 Silver,10,19536.00
2021,1,Australia,Mountain-400-W Silver,2,1215.00
2021,1,Australia,Mountain-500 Black,6,2592.00
2021,1,Australia,Mountain-500 Silver,10,4667.00
2021,1,Australia,Road-150 Red,4,12237.00
2021,1,Australia,Road-250 Black,14,29366.00
2021,1,Australia,Road-250 Red,2,4251.00
2021,1,Australia,Road-350-W Yellow,4,5546.00
2021,1,Australia,Road-550-W Yellow,18,16937.00
2021,1,Australia,Road-650 Red,2,1237.00
2021,1,Australia,Road-750 Black,46,20900.00
2021,1,Canada,Mountain-200 Silver,4,9188.00
2021,1,Canada,Mountain-500 Black,2,1069.00
2021,1,Canada,Road-150 Red,10,35420.00
2021,1,Canada,Road-250 Black,4,9674.00
2021,1,Canada,Road-250 Red,2,4837.00
2021,1,Canada,Road-350-W Yellow,6,10138.00
2021,1,Canada,Road-550-W Yellow,8,8872.00
2021,1,Canada,Road-750 Black,4,2138.00
2021,1,France,Mountain-100 Black,2,5535.00
2021,1,France,Road-150 Red,10,30199.00
2021,1,France,Road-250 Black,4,7720.00
2021,1,France,Road-250 Red,2,4007.00
2021,1,France,Road-350-W Yellow,2,2586.00
2021,1,France,Road-550-W Yellow,2,1837.00
2021,1,France,Road-650 Black,2,1503.00
2021,1,France,Road-750 Black,4,1826.00
2021,1,Germany,Mountain-200 Black,6,11797.00
2021,1,Germany,Mountain-500 Silver,2,1119.00
2021,1,Germany,Road-150 Red,8,25404.00
2021,1,Germany,Road-250 Black,8,17590.00
2021,1,Germany,Road-250 Red,2,4544.00
2021,1,Germany,Road-550-W Yellow,4,3898.00
2021,1,Germany,Road-650 Black,2,1550.00
2021,1,Germany,Road-650 Red,2,1284.00
2021,1,Germany,Road-750 Black,2,886.00
2021,1,United Kingdom,Mountain-200 Black,2,4406.00
2021,1,United Kingdom,Mountain-200 Silver,2,4454.00
2021,1,United Kingdom,Mountain-400-W Silver,4,2952.00
2021,1,United Kingdom,Road-250 Black,2,4691.00
2021,1,United Kingdom,Road-250 Red,2,4691.00
2021,1,United Kingdom,Road-350-W Yellow,4,6532.00
2021,1,United Kingdom,Road-550-W Yellow,6,6450.00
2021,1,United Kingdom,Road-750 Black,4,2074.00
2021,1,United States,Mountain-100 Black,2,6615.00
2021,1,United States,Mountain-100 Silver,4,13328.00
2021,1,United States,Mountain-200 Black,6,11658.00
2021,1,United States,Mountain-200 Silver,4,9094.00
2021,1,United States,Mountain-400-W Silver,2,1507.00
2021,1,United States,Mountain-500 Black,2,842.00
2021,1,United States,Road-150 Red,40,130813.00
2021,1,United States,Road-250 Black,18,43092.00
2021,1,United States,Road-250 Red,8,18175.00
2021,1,United States,Road-350-W Yellow,14,21162.00
2021,1,United States,Road-550-W Yellow,20,20695.00
2021,1,United States,Road-650 Black,6,3663.00
2021,1,United States,Road-650 Red,12,8520.00
2021,1,United States,Road-750 Black,26,12416.00
2021,2,Australia,Mountain-200 Black,22,42823.00
2021,2,Australia,Mountain-200 Silver,16,31647.00
2021,2,Australia,Mountain-400-W Silver,2,1338.00
2021,2,Australia,Mountain-500 Black,4,1826.00
2021,2,Australia,Mountain-500 Silver,2,893.00
2021,2,Australia,Road-150 Red,6,18248.00
2021,2,Australia,Road-250 Black,26,53258.00
2021,2,Australia,Road-250 Red,4,8208.00
2021,2,Australia,Road-350-W Yellow,26,37460.00
2021,2,Australia,Road-550-W Yellow,10,9073.00
2021,2,Australia,Road-750 Black,14,6481.00
2021,2,Canada,Mountain-200 Black,2,4544.00
2021,2,Canada,Mountain-200 Silver,4,9188.00
2021,2,Canada,Mountain-400-W Silver,2,1523.00
2021,2,Canada,Mountain-500 Black,2,1069.00
2021,2,Canada,Road-150 Red,10,35492.00
2021,2,Canada,Road-250 Black,2,4837.00
2021,2,Canada,Road-250 Red,6,14511.00
2021,2,Canada,Road-350-W Yellow,2,3368.00
2021,2,Canada,Road-550-W Yellow,6,6654.00
2021,2,Canada,Road-650 Red,2,1550.00
2021,2,Canada,Road-750 Black,8,4287.00
2021,2,France,Mountain-200 Black,4,7894.00
2021,2,France,Road-150 Red,16,49449.00
2021,2,France,Road-250 Black,4,7964.00
2021,2,France,Road-250 Red,4,8014.00
2021,2,France,Road-350-W Yellow,4,5852.00
2021,2,France,Road-550-W Yellow,4,3674.00
2021,2,France,Road-650 Red,2,1362.00
2021,2,France,Road-750 Black,6,2712.00
2021,2,Germany,Mountain-200 Silver,6,11647.00
2021,2,Germany,Road-150 Red,2,6655.00
2021,2,Germany,Road-250 Black,8,17346.00
2021,2,Germany,Road-250 Red,6,12558.00
2021,2,Germany,Road-350-W Yellow,6,8744.00
2021,2,Germany,Road-650 Black,8,5636.00
2021,2,Germany,Road-650 Red,6,4196.00
2021,2,Germany,Road-750 Black,2,886.00
2021,2,United Kingdom,Mountain-200 Silver,6,13362.00
2021,2,United Kingdom,Mountain-400-W Silver,4,2952.00
2021,2,United Kingdom,Mountain-500 Black,2,1037.00
2021,2,United Kingdom,Mountain-500 Silver,2,1085.00
2021,2,United Kingdom,Road-150 Red,2,6870.00
2021,2,United Kingdom,Road-250 Black,6,14073.00
2021,2,United Kingdom,Road-250 Red,8,18764.00
2021,2,United Kingdom,Road-350-W Yellow,2,3266.00
2021,2,United Kingdom,Road-550-W Yellow,6,6450.00
2021,2,United Kingdom,Road-650 Red,2,1503.00
2021,2,United Kingdom,Road-750 Black,8,4148.00
2021,2,United States,Mountain-200 Black,10,20470.00
2021,2,United States,Mountain-200 Silver,8,17260.00
2021,2,United States,Mountain-400-W Silver,8,6028.00
2021,2,United States,Mountain-500 Black,2,1058.00
2021,2,United States,Road-150 Red,46,151854.00
2021,2,United States,Road-250 Black,10,20814.00
2021,2,United States,Road-250 Red,20,44559.00
2021,2,United States,Road-350-W Yellow,12,17828.00
2021,2,United States,Road-550-W Yellow,30,30953.00
2021,2,United States,Road-650 Black,12,8708.00
2021,2,United States,Road-650 Red,6,4291.00
2021,2,United States,Road-750 Black,28,13084.00
2021,3,Australia,Mountain-200 Black,10,19598.00
2021,3,Australia,Mountain-200 Silver,26,49652.00
2021,3,Australia,Mountain-500 Black,4,1728.00
2021,3,Australia,Mountain-500 Silver,14,6667.00
2021,3,Australia,Road-150 Red,8,23328.00
2021,3,Australia,Road-250 Black,20,40261.00
